className,totalReviewedCommits,normalizedCommitExp,gold
u,63088,49.911392405063296,-1.0
u,63068,49.89556962025317,-1.0
u,67035,53.03401898734177,1.0
u,63232,50.0253164556962,-1.0
u,63040,49.87341772151899,-1.0
u,62992,49.83544303797469,1.0
u,62992,49.83544303797469,1.0
u,62992,49.83544303797469,1.0
u,62992,49.83544303797469,-1.0
u,62916,49.7753164556962,-1.0
u,62900,49.7626582278481,-1.0
u,5755,80.52329648803695,-1.0
u,5755,80.52329648803695,1.0
u,5736,80.25745067860642,1.0
u,5735,80.24345879389953,1.0
u,5650,79.05414859381558,1.0
u,5607,78.45249755142018,-1.0
u,5582,78.10270043374842,-1.0
u,5542,77.54302504547363,-1.0
u,0,0.0,1.0
u,4888,68.39233244718064,-1.0
u,4740,66.32153351056387,1.0
u,4722,66.06967958584022,1.0
u,10592,27.312343673448336,-1.0
u,10307,26.57744771924396,-1.0
u,10307,26.57744771924396,1.0
u,0,0.0,1.0
u,10300,26.55939764317578,1.0
u,10200,26.301539413630387,-1.0
u,10200,26.301539413630387,1.0
u,9914,25.564064877130555,-1.0
u,9906,25.543436218766924,1.0
u,0,0.0,1.0
u,8987,23.17371908924473,-1.0
u,15366,43.15080033698399,1.0
u,15303,42.973883740522325,1.0
u,15298,42.95984274080315,1.0
u,15250,42.825049143499015,1.0
u,15250,42.825049143499015,-1.0
u,15250,42.825049143499015,-1.0
u,15250,42.825049143499015,-1.0
u,15244,42.808199943836,-1.0
u,15231,42.77169334456613,1.0
u,0,0.0,1.0
u,14896,41.830946363381074,1.0
u,14738,41.38725077225499,-1.0
u,15916,44.6953103060938,-1.0
u,14690,41.252457174950855,1.0
u,14683,41.232799775344006,1.0
u,14683,41.232799775344006,-1.0
u,15893,44.63072170738557,1.0
u,14683,41.232799775344006,-1.0
u,4187,55.89373915365105,-1.0
u,4161,55.54665598718462,1.0
u,4147,55.359765051395,1.0
u,3973,53.03697770658123,-1.0
u,0,0.0,1.0
u,1094,50.3683241252302,1.0
u,1086,50.0,1.0
u,1084,49.90791896869245,1.0
u,1084,49.90791896869245,1.0
u,1084,49.90791896869245,1.0
u,1033,47.55985267034991,1.0
u,1033,47.55985267034991,1.0
u,1013,46.6390423572744,1.0
u,974,44.843462246777165,1.0
u,957,44.06077348066299,-1.0
u,923,42.49539594843462,-1.0
u,643,29.60405156537753,-1.0
u,907,41.75874769797422,1.0
u,600,27.6243093922652,1.0
u,789,36.32596685082873,1.0
u,592,27.255985267034998,-1.0
u,592,27.255985267034998,1.0
u,552,25.41436464088398,1.0
u,546,25.13812154696133,1.0
u,685,31.53775322283609,1.0
u,650,29.92633517495396,1.0
u,650,29.92633517495396,-1.0
u,646,29.74217311233886,-1.0
nu,63244,50.03481012658227,1.0
nu,63044,49.87658227848101,1.0
nu,63024,49.86075949367088,1.0
nu,62992,49.83544303797469,1.0
nu,62992,49.83544303797469,1.0
nu,62992,49.83544303797469,1.0
nu,62992,49.83544303797469,1.0
nu,62992,49.83544303797469,1.0
nu,62987,49.83148734177215,1.0
nu,62942,49.79588607594937,-1.0
nu,62917,49.77610759493671,1.0
nu,62916,49.7753164556962,1.0
nu,62908,49.76898734177215,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,4812,67.32894920945851,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,10300,26.55939764317578,1.0
nu,10200,26.301539413630387,1.0
nu,0,0.0,1.0
nu,10116,26.084938500812253,1.0
nu,10071,25.968902297516827,1.0
nu,9906,25.543436218766924,1.0
nu,9906,25.543436218766924,1.0
nu,9625,24.81885459374436,1.0
nu,9522,24.553260617312603,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,9255,23.8647791444264,1.0
nu,9146,23.58371367422191,1.0
nu,0,0.0,1.0
nu,9078,23.408370078131043,1.0
nu,9371,24.163894690699053,1.0
nu,9078,23.408370078131043,1.0
nu,9078,23.408370078131043,1.0
nu,0,0.0,1.0
nu,8990,23.181454836131092,1.0
nu,11270,29.060622469766123,1.0
nu,0,0.0,1.0
nu,16576,46.54872226902555,1.0
nu,15336,43.06655433866891,-1.0
nu,15336,43.06655433866891,1.0
nu,0,0.0,1.0
nu,15299,42.96265094074698,1.0
nu,0,0.0,1.0
nu,15299,42.96265094074698,1.0
nu,0,0.0,1.0
nu,15290,42.93737714125246,1.0
nu,15290,42.93737714125246,1.0
nu,15290,42.93737714125246,1.0
nu,15287,42.92895254142095,1.0
nu,15470,43.44285313114294,1.0
nu,16504,46.34653187306937,1.0
nu,0,0.0,1.0
nu,15250,42.825049143499015,1.0
nu,15244,42.808199943836,-1.0
nu,15244,42.808199943836,1.0
nu,15239,42.79415894411682,-1.0
nu,15236,42.78573434428532,1.0
nu,15234,42.78011794439764,1.0
nu,15228,42.763268744734624,1.0
nu,15225,42.75484414490312,1.0
nu,15216,42.72957034540859,1.0
nu,15216,42.72957034540859,-1.0
nu,15216,42.72957034540859,-1.0
nu,15216,42.72957034540859,-1.0
nu,0,0.0,1.0
nu,14896,41.830946363381074,1.0
nu,14896,41.830946363381074,1.0
nu,14896,41.830946363381074,1.0
nu,16109,45.23729289525414,-1.0
nu,14890,41.81409716371805,1.0
nu,14890,41.81409716371805,-1.0
nu,0,0.0,1.0
nu,14855,41.7158101656838,1.0
nu,14855,41.7158101656838,1.0
nu,14738,41.38725077225499,1.0
nu,14722,41.34231957315361,1.0
nu,14722,41.34231957315361,1.0
nu,14701,41.283347374333054,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
