className,reviewedCommitsFile,normalizedFileExp,gold
u,6,0.014772139744441982,0.0
u,35,0.08617081517591156,0.0
u,35,0.08617081517591156,0.0
u,21,0.05170248910554694,0.0
u,35,0.08617081517591156,0.0
u,18,0.044316419233325945,0.0
u,14,0.034468326070364624,0.0
u,48,0.11817711795553586,0.0
u,57,0.14033532757219885,-1.0
u,2,0.004924046581480661,0.0
u,11,0.027082256198143636,-1.0
u,9,0.022158209616662972,0.0
u,9,0.022158209616662972,1.0
u,12,0.029544279488883964,0.0
u,12,0.029544279488883964,0.0
u,12,0.029544279488883964,-1.0
u,0,0.0,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,0,0.0,-1.0
u,1,0.0024620232907403305,0.0
u,1,0.0024620232907403305,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,8,0.019696186325922644,0.0
u,0,0.0,0.0
u,0,0.0,1.0
u,0,0.0,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,0,0.0,1.0
u,0,0.0,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,0,0.0,1.0
u,0,0.0,0.0
u,0,0.0,-1.0
u,0,0.0,0.0
u,0,0.0,0.0
u,2,0.004924046581480661,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,8,0.019696186325922644,0.0
u,8,0.019696186325922644,0.0
u,8,0.019696186325922644,0.0
u,8,0.019696186325922644,0.0
u,8,0.019696186325922644,0.0
u,8,0.019696186325922644,0.0
u,8,0.019696186325922644,0.0
u,31,0.07632272201295025,0.0
u,31,0.07632272201295025,0.0
u,0,0.0,0.0
u,1,0.0024620232907403305,0.0
u,1,0.0024620232907403305,0.0
u,31,0.07632272201295025,0.0
u,1,0.0024620232907403305,-1.0
u,7,0.017234163035182312,0.0
u,0,0.0,0.0
u,0,0.0,-1.0
u,4,0.009848093162961322,0.0
u,19,1.4649190439475714,0.0
u,20,1.5420200462606015,0.0
u,13,1.002313030069391,0.0
u,13,1.002313030069391,0.0
u,14,1.0794140323824208,0.0
u,14,1.0794140323824208,0.0
u,14,1.0794140323824208,0.0
u,0,0.0,0.0
u,14,1.0794140323824208,0.0
u,14,1.0794140323824208,-1.0
u,14,1.0794140323824208,0.0
u,14,1.0794140323824208,0.0
u,14,1.0794140323824208,0.0
u,14,1.0794140323824208,0.0
u,14,1.0794140323824208,0.0
u,14,1.0794140323824208,0.0
u,14,1.0794140323824208,0.0
u,0,0.0,1.0
u,14,1.0794140323824208,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,180,13.878180416345412,0.0
u,180,13.878180416345412,0.0
u,180,13.878180416345412,0.0
u,2,0.15420200462606012,1.0
u,16,1.233616037008481,0.0
u,16,1.233616037008481,1.0
u,20,1.5420200462606015,0.0
u,20,1.5420200462606015,0.0
u,20,1.5420200462606015,0.0
u,206,15.882806476484193,0.0
u,206,15.882806476484193,0.0
u,206,15.882806476484193,0.0
u,206,15.882806476484193,0.0
u,168,12.952968388589051,0.0
u,179,13.801079414032383,0.0
u,179,13.801079414032383,0.0
u,12,0.9252120277563608,0.0
u,12,0.9252120277563608,0.0
u,6,0.4626060138781804,1.0
u,12,0.9252120277563608,0.0
u,12,0.9252120277563608,0.0
u,0,0.0,0.0
u,19,1.4649190439475714,0.0
u,176,13.569776407093293,0.0
u,176,13.569776407093293,0.0
u,180,13.878180416345412,0.0
u,180,13.878180416345412,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,7,0.5397070161912104,-1.0
u,7,0.5397070161912104,0.0
u,7,0.5397070161912104,0.0
u,7,0.5397070161912104,0.0
u,7,0.5397070161912104,0.0
u,7,0.5397070161912104,0.0
u,1,0.07710100231303006,0.0
u,140,10.79414032382421,-1.0
u,174,13.41557440246723,-1.0
u,174,13.41557440246723,0.0
u,204,15.728604471858135,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,158,12.181958365458751,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,43,3.3153430994602933,0.0
u,43,3.3153430994602933,0.0
u,328,25.28912875867386,0.0
u,43,3.3153430994602933,0.0
u,43,3.3153430994602933,0.0
u,4,0.30840400925212025,0.0
u,151,11.642251349267541,0.0
u,0,0.0,1.0
u,132,10.17733230531997,-1.0
u,39,3.0069390902081725,0.0
u,2,0.15420200462606012,0.0
u,13,1.002313030069391,0.0
u,13,1.002313030069391,0.0
u,13,1.002313030069391,0.0
u,13,1.002313030069391,0.0
u,10,0.7710100231303008,0.0
u,10,0.7710100231303008,0.0
u,8,0.6168080185042405,0.0
u,143,11.0254433307633,0.0
u,143,11.0254433307633,0.0
u,310,23.90131071703932,0.0
u,44,3.3924441017733233,0.0
u,27,2.081727062451812,0.0
u,27,2.081727062451812,0.0
u,27,2.081727062451812,0.0
u,44,3.3924441017733233,0.0
u,310,23.90131071703932,0.0
u,171,13.18427139552814,1.0
u,77,5.936777178103315,1.0
u,9,0.6939090208172706,0.0
u,9,0.6939090208172706,0.0
u,286,22.0508866615266,0.0
u,220,16.962220508866615,0.0
u,3,0.2313030069390902,0.0
u,3,0.2313030069390902,0.0
u,3,0.2313030069390902,0.0
u,3,0.2313030069390902,0.0
u,3,0.2313030069390902,0.0
u,3,0.2313030069390902,0.0
u,3,0.2313030069390902,0.0
u,33,2.5443330763299925,0.0
u,8,0.3103180760279286,0.0
u,0,0.0,0.0
u,2,0.07757951900698215,-1.0
u,0,0.0,0.0
u,0,0.0,0.0
u,2,0.07757951900698215,0.0
u,0,0.0,-1.0
u,4,0.1551590380139643,0.0
u,0,0.0,0.0
u,15,0.5818463925523661,0.0
u,15,0.5818463925523661,0.0
u,4,0.1551590380139643,0.0
u,29,1.1249030256012413,1.0
u,18,0.6982156710628394,0.0
u,63,2.4437548487199376,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,1,0.038789759503491075,0.0
u,2,0.07757951900698215,0.0
u,7,0.27152831652443754,0.0
u,0,0.0,1.0
