className,reviewedCommitsFile,normalizedFileExp,gold
u,57,0.1403353275721988,-1.0
u,11,0.0270822561981436,-1.0
u,9,0.0221582096166629,1.0
u,12,0.0295442794888839,-1.0
u,0,0.0,-1.0
u,0,0.0,1.0
u,0,0.0,1.0
u,0,0.0,1.0
u,0,0.0,-1.0
u,1,0.0024620232907403,-1.0
u,0,0.0,-1.0
u,14,1.0794140323824208,-1.0
u,0,0.0,1.0
u,2,0.1542020046260601,1.0
u,16,1.233616037008481,1.0
u,6,0.4626060138781804,1.0
u,7,0.5397070161912104,-1.0
u,140,10.79414032382421,-1.0
u,174,13.41557440246723,-1.0
u,0,0.0,1.0
u,132,10.17733230531997,-1.0
u,171,13.18427139552814,1.0
u,77,5.936777178103315,1.0
u,2,0.0775795190069821,-1.0
u,0,0.0,-1.0
u,29,1.1249030256012411,1.0
u,0,0.0,1.0
u,0,0.0,1.0
u,62,2.404965089216447,-1.0
u,62,2.404965089216447,1.0
u,26,1.008533747090768,-1.0
u,21,0.8145849495733126,1.0
u,0,0.0,1.0
u,1,0.038789759503491,-1.0
u,0,0.0,1.0
u,0,0.0,1.0
u,3,0.2666666666666666,1.0
u,204,18.133333333333333,1.0
u,5,0.4444444444444444,-1.0
u,5,0.4444444444444444,-1.0
u,1,0.0888888888888888,-1.0
u,0,0.0,-1.0
u,26,2.311111111111111,1.0
u,0,0.0,1.0
u,0,0.0,1.0
u,6,0.5333333333333333,-1.0
u,16,1.4222222222222225,-1.0
u,179,15.911111111111111,1.0
u,15,1.3333333333333337,1.0
u,0,0.0,-1.0
u,193,17.155555555555555,1.0
u,177,15.733333333333333,-1.0
u,29,11.646586345381529,-1.0
u,73,29.31726907630522,1.0
u,1,0.4016064257028112,1.0
u,5,2.0080321285140563,-1.0
u,0,0.0,1.0
u,4,0.3861003861003861,1.0
u,0,0.0,1.0
u,8,0.7722007722007722,1.0
u,8,0.7722007722007722,1.0
u,6,0.5791505791505791,1.0
u,5,0.4826254826254826,1.0
u,5,0.4826254826254826,1.0
u,0,0.0,1.0
u,0,0.0,1.0
u,1,0.0965250965250965,-1.0
u,0,0.0,-1.0
u,0,0.0,-1.0
u,0,0.0,1.0
u,2,0.193050193050193,1.0
u,0,0.0,1.0
u,0,0.0,-1.0
u,0,0.0,1.0
u,0,0.0,1.0
u,24,2.3166023166023164,1.0
u,1,0.0965250965250965,1.0
u,0,0.0,1.0
u,0,0.0,-1.0
u,0,0.0,-1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,76,0.1871137700962651,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,76,0.1871137700962651,1.0
nu,76,0.1871137700962651,1.0
nu,0,0.0,1.0
nu,8,0.0196961863259226,-1.0
nu,0,0.0,1.0
nu,1,0.0024620232907403,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,10,0.7710100231303008,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,52,2.017067494181536,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,46,1.7843289371605895,1.0
nu,44,1.7067494181536074,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,27,1.047323506594259,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,93,8.266666666666666,1.0
nu,48,4.266666666666667,-1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,90,8.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,2,0.1777777777777777,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,26,2.311111111111111,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,1,0.0888888888888888,-1.0
nu,0,0.0,1.0
nu,0,0.0,-1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,-1.0
nu,0,0.0,-1.0
nu,0,0.0,-1.0
nu,0,0.0,1.0
nu,3,0.2666666666666666,1.0
nu,39,3.4666666666666663,1.0
nu,0,0.0,1.0
nu,0,0.0,-1.0
nu,0,0.0,1.0
nu,0,0.0,-1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,8,0.7111111111111111,1.0
nu,8,0.7111111111111111,1.0
nu,0,0.0,1.0
nu,41,16.46586345381526,-1.0
nu,0,0.0,1.0
nu,2,0.8032128514056224,-1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,10,4.016064257028113,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,8,0.7722007722007722,1.0
nu,0,0.0,1.0
nu,5,0.4826254826254826,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,7,0.6756756756756757,-1.0
nu,1,0.0965250965250965,1.0
nu,1,0.0965250965250965,1.0
nu,0,0.0,-1.0
nu,7,0.6756756756756757,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,7,0.6756756756756757,1.0
nu,0,0.0,1.0
nu,3,0.2895752895752895,1.0
nu,0,0.0,1.0
nu,6,0.5791505791505791,1.0
nu,10,0.9652509652509652,-1.0
nu,6,0.5791505791505791,1.0
nu,1,0.0965250965250965,1.0
nu,0,0.0,-1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,-1.0
u,7,0.1555901311402533,1.0
u,13,0.288953100689042,1.0
u,54,1.2002667259390976,-1.0
u,21,0.4667703934207601,-1.0
u,25,0.5556790397866193,-1.0
u,32,0.7112691709268726,-1.0
u,32,0.7112691709268726,1.0
u,10,0.2222716159146476,-1.0
u,10,0.2222716159146476,1.0
u,5,0.1111358079573238,-1.0
u,2,0.0444543231829295,1.0
u,5,0.1111358079573238,1.0
u,0,0.0,-1.0
u,1,0.0222271615914647,1.0
u,51,1.978277734678045,1.0
u,18,0.6982156710628394,-1.0
u,0,0.0,-1.0
u,0,0.0,-1.0
u,0,0.0,-1.0
u,0,0.0,-1.0
u,19,0.7370054305663305,-1.0
u,4,0.1551590380139643,1.0
u,16,0.6206361520558572,1.0
u,4,0.1551590380139643,1.0
u,4,0.1551590380139643,-1.0
u,59,2.288595810705974,-1.0
u,59,2.288595810705974,-1.0
u,10,0.3878975950349108,-1.0
u,13,0.504266873545384,1.0
u,19,0.7370054305663305,-1.0
u,4,0.1551590380139643,-1.0
u,19,0.7370054305663305,-1.0
u,2,0.0775795190069821,-1.0
u,23,0.8921644685802949,-1.0
u,2,0.0659630606860158,1.0
u,4,0.1319261213720316,-1.0
u,5,0.1649076517150395,-1.0
u,5,0.1649076517150395,1.0
u,5,0.1649076517150395,1.0
u,2,0.0659630606860158,1.0
u,2,0.0659630606860158,-1.0
u,22,0.7255936675461742,-1.0
u,3,0.0989445910290237,1.0
u,33,1.0883905013192612,-1.0
u,15,0.4947229551451187,-1.0
u,4,0.1319261213720316,-1.0
u,1,0.0329815303430079,1.0
u,4,0.1319261213720316,1.0
u,6,0.1978891820580475,1.0
u,8,0.2638522427440633,-1.0
u,7,0.2308707124010554,-1.0
u,18,0.5936675461741424,-1.0
u,0,0.0,-1.0
u,0,0.0,-1.0
u,0,0.0,-1.0
u,52,1.550387596899225,-1.0
u,13,0.3875968992248062,1.0
u,25,0.7453786523553966,-1.0
u,11,0.3279666070363745,-1.0
u,0,0.0,1.0
u,6,0.1788908765652951,-1.0
u,2,0.0596302921884317,1.0
u,0,0.0,1.0
u,0,0.0,-1.0
u,0,0.0,-1.0
u,0,0.0,-1.0
u,3,0.0894454382826475,-1.0
u,3,0.0894454382826475,-1.0
u,3,0.0894454382826475,-1.0
u,4,0.1192605843768634,-1.0
u,9,0.2683363148479427,-1.0
u,2,0.0596302921884317,-1.0
u,6,0.1788908765652951,-1.0
u,2,0.0596302921884317,-1.0
u,16,0.4770423375074538,-1.0
u,0,0.0,-1.0
u,7,0.208706022659511,-1.0
nu,5,0.1111358079573238,-1.0
nu,0,0.0,1.0
nu,2,0.0444543231829295,-1.0
nu,64,1.4225383418537452,1.0
nu,64,1.4225383418537452,-1.0
nu,13,0.288953100689042,-1.0
nu,1,0.0222271615914647,1.0
nu,24,0.5334518781951545,-1.0
nu,27,0.6001333629695488,-1.0
nu,24,0.5334518781951545,-1.0
nu,11,0.2444987775061124,-1.0
nu,11,0.2444987775061124,1.0
nu,6,0.1333629695487886,-1.0
nu,4,0.088908646365859,-1.0
nu,27,0.6001333629695488,1.0
nu,15,0.3334074238719716,1.0
nu,2,0.0444543231829295,-1.0
nu,4,0.088908646365859,-1.0
nu,3,0.0666814847743943,-1.0
nu,0,0.0,-1.0
nu,5,0.1111358079573238,1.0
nu,8,0.1778172927317181,1.0
nu,4,0.088908646365859,-1.0
nu,4,0.088908646365859,-1.0
nu,42,0.9335407868415204,-1.0
nu,0,0.0,-1.0
nu,21,0.4667703934207601,-1.0
nu,9,0.2000444543231829,1.0
nu,0,0.0,1.0
nu,9,0.2000444543231829,1.0
nu,22,0.4889975550122249,-1.0
nu,28,0.6223605245610135,-1.0
nu,28,0.6223605245610135,-1.0
nu,24,0.5334518781951545,-1.0
nu,1,0.038789759503491,1.0
nu,1,0.038789759503491,1.0
nu,1,0.038789759503491,-1.0
nu,1,0.038789759503491,1.0
nu,25,0.9697439875872768,-1.0
