className,reviewedCommitsFile,normalizedFileExp,gold
nu,29,0.0713986754314695,0.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,21,0.0517024891055469,0.0
nu,11,0.0270822561981436,0.0
nu,11,0.0270822561981436,0.0
nu,9,0.0221582096166629,0.0
nu,0,0.0,1.0
nu,12,0.0295442794888839,0.0
nu,0,0.0,1.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,0,0.0,1.0
nu,1,0.0024620232907403,0.0
nu,1,0.0024620232907403,0.0
nu,2,0.0049240465814806,0.0
nu,76,0.1871137700962651,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,0.0
nu,76,0.1871137700962651,1.0
nu,76,0.1871137700962651,1.0
nu,3,0.0073860698722209,0.0
nu,12,0.0295442794888839,0.0
nu,12,0.0295442794888839,0.0
nu,14,0.0344683260703646,0.0
nu,12,0.0295442794888839,0.0
nu,0,0.0,1.0
nu,8,0.0196961863259226,-1.0
nu,8,0.0196961863259226,0.0
nu,8,0.0196961863259226,0.0
nu,8,0.0196961863259226,0.0
nu,8,0.0196961863259226,0.0
nu,0,0.0,1.0
nu,1,0.0024620232907403,0.0
nu,1,0.0024620232907403,0.0
nu,1,0.0024620232907403,0.0
nu,1,0.0024620232907403,1.0
nu,1,0.0024620232907403,0.0
nu,1,0.0024620232907403,0.0
nu,0,0.0,0.0
nu,0,0.0,1.0
nu,13,1.002313030069391,0.0
nu,13,1.002313030069391,0.0
nu,14,1.0794140323824208,0.0
nu,14,1.0794140323824208,0.0
nu,14,1.0794140323824208,0.0
nu,13,1.002313030069391,0.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,0.0
nu,0,0.0,1.0
nu,171,13.18427139552814,0.0
nu,0,0.0,0.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,206,15.882806476484191,0.0
nu,206,15.882806476484191,0.0
nu,12,0.9252120277563608,0.0
nu,12,0.9252120277563608,0.0
nu,12,0.9252120277563608,0.0
nu,12,0.9252120277563608,0.0
nu,0,0.0,1.0
nu,12,0.9252120277563608,0.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,7,0.5397070161912104,0.0
nu,0,0.0,1.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,43,3.3153430994602933,0.0
nu,0,0.0,0.0
nu,10,0.7710100231303008,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,77,5.936777178103315,0.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,3,0.2313030069390902,0.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,0,0.0,1.0
nu,0,0.0,0.0
nu,0,0.0,1.0
nu,0,0.0,0.0
nu,0,0.0,1.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,4,0.1551590380139643,0.0
nu,4,0.1551590380139643,0.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,7,0.2715283165244375,0.0
nu,7,0.2715283165244375,0.0
nu,0,0.0,0.0
nu,0,0.0,1.0
nu,1,0.038789759503491,0.0
nu,0,0.0,0.0
nu,29,1.1249030256012411,0.0
nu,0,0.0,1.0
nu,0,0.0,0.0
nu,0,0.0,1.0
nu,52,2.017067494181536,1.0
nu,14,0.5430566330488751,0.0
nu,14,0.5430566330488751,0.0
nu,0,0.0,0.0
nu,0,0.0,1.0
nu,50,1.9394879751745535,0.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,50,1.9394879751745535,0.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,6,0.2327385570209464,0.0
nu,6,0.2327385570209464,0.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,49,1.900698215671063,0.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,0,0.0,1.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,4,0.1551590380139643,0.0
nu,4,0.1551590380139643,0.0
nu,0,0.0,0.0
nu,0,0.0,1.0
nu,46,1.7843289371605895,0.0
nu,46,1.7843289371605895,1.0
nu,44,1.7067494181536074,1.0
nu,46,1.7843289371605895,0.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,0,0.0,1.0
nu,41,1.590380139643134,0.0
nu,0,0.0,1.0
nu,27,1.047323506594259,0.0
nu,27,1.047323506594259,1.0
nu,0,0.0,0.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,93,8.266666666666666,1.0
nu,48,4.266666666666667,-1.0
nu,0,0.0,1.0
nu,48,4.266666666666667,0.0
nu,0,0.0,0.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,90,8.0,0.0
nu,90,8.0,0.0
nu,90,8.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,21,1.866666666666667,0.0
