,c_id,className,ReadingEase,ReadingEase(NL),CodeElementRatio,QuestionRatio,StopwordRatio,StopKeyRatio,ConceptualSimilarity,AuthorCommitsFile,CommittedTwice,TotalAuthoredCommits,ReviewingTwice,ReviewedCommitsFile,TotalReviewedCommits,ReviewedPRs,ExtLibSimilarity,sentimoji,gold
954,301247186-5560-nu,nu,78.87285714,78.87285714,0.066666667,0.5,0.533333333,0.533333333,0.260699055,0,0,799,1,29,4187,1032,0.703526471,0.0,0.0
955,301248498-5560-nu,nu,78.87285714,78.87285714,0.066666667,0.5,0.533333333,0.533333333,0.247718027,0,0,799,1,29,4187,1032,0.703526471,0.0,0.0
956,301803091-5560-nu,nu,100.0,100.0,0.142857143,1.0,0.571428571,0.571428571,0.270297833,0,0,799,1,29,4187,1032,0.703526471,0.0,0.0
957,233732342-5533-nu,nu,100.0,100.0,0.066666667,0.0,0.666666667,0.666666667,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
958,274570549-5501-nu,nu,100.0,100.0,0.2,1.0,0.6,0.6,0.197060097,0,0,799,1,47,4124,1012,0.754336509,0.0,0.0
959,263093597-5495-nu,nu,75.46182692,80.83543919,0.068181818,0.25,0.409090909,0.431818182,0.0,1,1,124,1,4,3176,872,0.105409255,0.0,0.0
960,263093597-5495-nu,nu,75.46182692,80.83543919,0.068181818,0.25,0.409090909,0.431818182,0.0,1,1,124,1,4,3176,872,0.105409255,0.0,0.0
963,254476799-5452-nu,nu,86.705,86.705,0.1,0.0,0.6,0.6,0.038248531,0,0,1668,1,2,3944,999,0.516397779,0.0,0.0
964,254475412-5452-nu,nu,57.095,57.095,0.0,1.0,0.391304348,0.391304348,0.0,1,1,1668,1,6,3944,999,0.478091444,0.0,0.0
965,217898492-5359-nu,nu,100.0,100.0,0.111111111,0.0,0.333333333,0.333333333,0.118090965,1,1,70,1,5,3126,856,0.0,-1.0,0.0
966,217887678-5359-nu,nu,100.0,100.0,0.142857143,1.0,0.428571429,0.428571429,0.400412173,1,1,70,1,5,3126,856,0.0,0.0,0.0
967,155716753-5359-nu,nu,91.19710366,93.05,0.041666667,0.75,0.458333333,0.520833333,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
968,155456085-5357-nu,nu,62.70357143,62.70357143,0.03125,0.0,0.4375,0.4375,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
970,212400631-5339-nu,nu,99.3955,100.0,0.074074074,0.5,0.518518519,0.555555556,0.176119466,0,0,799,1,3,3862,982,0.0,0.0,0.0
971,213395493-5339-nu,nu,64.92454545,100.0,0.153846154,1.0,0.538461538,0.615384615,0.369012215,0,0,799,1,3,3862,982,0.0,0.0,0.0
972,213395897-5339-nu,nu,80.79335366,80.79335366,0.022727273,0.5,0.5,0.522727273,0.167107175,0,0,799,1,3,3862,982,0.0,0.0,0.0
973,213396813-5339-nu,nu,95.955,95.955,0.038461538,0.0,0.538461538,0.538461538,0.190926159,0,0,799,1,3,3862,982,0.0,0.0,0.0
974,229911882-5303-nu,nu,83.32,83.32,0.2,1.0,0.4,0.4,0.182574186,0,0,799,1,11,3827,976,0.0,0.0,0.0
975,229911949-5303-nu,nu,83.09903846,78.245,0.375,1.0,0.5,0.5,0.0,1,1,799,1,6,3827,976,0.0,0.0,0.0
977,203560709-5295-nu,nu,49.54272727,49.54272727,0.090909091,0.0,0.454545455,0.454545455,0.090200303,0,0,799,1,16,3715,972,0.0,0.0,0.0
978,399037619-5266-nu,nu,71.53096491,71.53096491,0.023809524,0.0,0.523809524,0.523809524,0.0,0,0,85,0,0,3421,946,0.0,0.0,0.0
979,197190316-5266-nu,nu,90.95857143,90.95857143,0.058823529,0.5,0.411764706,0.411764706,0.0,0,0,4,1,15,2972,831,0.0,0.0,0.0
980,197192196-5266-nu,nu,66.1,66.1,0.090909091,1.0,0.545454545,0.545454545,0.186686078,0,0,4,1,7,2972,831,0.0,0.0,0.0
