c_id,className,ReadingEase,ReadingEase(NL),CodeElementRatio,QuestionRatio,StopwordRatio,StopKeyRatio,ConceptualSimilarity,AuthorCommitsFile,CommittedTwice,TotalAuthoredCommits,ReviewingTwice,ReviewedCommitsFile,TotalReviewedCommits,ReviewedPRs,ExtLibSimilarity,sentimoji,gold
742740134-80282-nu,nu,83.09903846,83.09903846,0.0625,0.0,0.5,0.5,0.178885438,3,1,1366,1,1,62916,26078,0.0,0.0,0.0
742671063-80282-nu,nu,99.49,100.0,0.04,0.0,0.52,0.52,0.115470054,2,1,1204,1,1,62916,26078,0.0,0.0,0.0
742779396-80267-nu,nu,75.32035714,75.32035714,0.043478261,0.5,0.47826087,0.608695652,0.390182796,0,0,1366,0,0,62908,26070,0.0,0.0,0.0
742828352-80267-nu,nu,72.16022727,72.16022727,0.027777778,0.5,0.527777778,0.611111111,0.249278644,0,0,1366,0,0,62908,26070,0.0,1.0,1.0
720877957-15447-nu,nu,100.0,100.0,0.076923077,0.5,0.461538462,0.461538462,0.275208366,24,1,580,1,13,5799,3564,0.0,0.0,0.0
720878200-15447-nu,nu,80.67772727,80.67772727,0.038461538,0.0,0.5,0.5,0.296892702,24,1,580,1,13,5799,3564,0.0,0.0,0.0
738622841-15447-nu,nu,53.97105263,53.97105263,0.05,1.0,0.45,0.45,0.22724583,0,0,67,1,14,5805,3568,0.0,0.0,0.0
742279744-15447-nu,nu,90.09,90.09,0.03125,0.0,0.5625,0.5625,0.113820006,0,0,67,1,14,5805,3568,0.0,0.0,0.0
738627936-15447-nu,nu,64.92454545,64.92454545,0.083333333,1.0,0.666666667,0.666666667,0.068041382,0,0,67,1,14,5805,3568,0.0,0.0,0.0
741701694-15447-nu,nu,64.79833333,64.79833333,0.015873016,0.5,0.396825397,0.412698413,0.263843977,0,0,0,1,13,5799,3564,0.0,0.0,0.0
752987852-15355-nu,nu,100.0,100.0,0.033333333,0.0,0.4,0.4,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
753053985-15342-nu,nu,91.84272727,91.84272727,0.041666667,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
707559410-15342-nu,nu,83.32,83.32,0.2,1.0,0.6,0.6,0.172132593,12,1,283,0,0,5753,3514,0.0,0.0,0.0
755375212-15342-nu,nu,100.0,100.0,0.04,0.0,0.48,0.48,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
709375205-15342-nu,nu,59.636,59.636,0.037037037,0.0,0.518518519,0.518518519,0.14587888,58,1,283,1,171,5753,3514,0.0,0.0,0.0
